type	abstr_utt	abstr_da	utt	da
reply	there a *NUMBER o'clock schedule	"inform(departure_time=""*DEPARTURE_TIME"")"	there a four o'clock schedule	line=M116, direction=Columbia University, from_stop=Union Square, vehicle=bus, departure_time=4:14pm
apologize	there a *NUMBER o'clock schedule	"inform(departure_time=""*DEPARTURE_TIME"")"	there a seven o'clock schedule	*=notfound, departure_time=7:00
request	there a *NUMBER o'clock schedule	"inform(departure_time=""*DEPARTURE_TIME"")"	there a nine o'clock schedule	from_stop=?, to_stop=?
confirm-request	there a *NUMBER o'clock schedule	"inform(departure_time=""*DEPARTURE_TIME"")"	there a one o'clock schedule	confirm: departure_time=1:00; request: from_stop=?, to_stop=?
confirm	there a *NUMBER o'clock schedule	"inform(departure_time=""*DEPARTURE_TIME"")"	there a one o'clock schedule	departure_time=1:00
reply	what about a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about a connection at zero pm	departure_time=0:16pm, from_stop=Chambers Street, line=E, direction=Washington Square, vehicle=subway
apologize	what about a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about a connection at six pm	*=notfound, departure_time=6:00, ampm=pm
request	what about a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about a connection at seven am	from_stop=?, to_stop=?
confirm-request	what about a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about a connection at eleven am	confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?
confirm	what about a connection at *NUMBER *AMPM	"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")"	what about a connection at eleven am	departure_time=11:00, ampm=am
reply	what about a connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	what about a connection by subway	direction=Bowling Green, from_stop=Franklin Street, vehicle=subway, line=4, departure_time=8:15pm
apologize	what about a connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	what about a connection by bus	*=notfound, vehicle=bus
request	what about a connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	what about a connection by bus	from_stop=?, to_stop=?
confirm-request	what about a connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	what about a connection by bus	confirm: vehicle=bus; request: from_stop=?, to_stop=?
confirm	what about a connection by *VEHICLE	"inform(vehicle=""*VEHICLE"")"	what about a connection by bus	vehicle=bus
reply	what about from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	what about from Houston Street to Washington Square	direction=Washington Square, vehicle=bus, departure_time=10:01pm, from_stop=Houston Street, line=M116
apologize	what about from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	what about from City Hall to Rector Street	*=notfound, from_stop=City Hall, to_stop=Rector Street
confirm	what about from *STOP to *STOP	"inform(from_stop=""*STREET"")&inform(to_stop=""*STREET"")"	what about from Wall Street to Grand Street	from_stop=Wall Street, to_stop=Grand Street
